# Ratio Measurement - KEITHLEY INSTRUMENTS INC.,MODEL 2100,1194515,01.12-01-01
# Main Channel: 100V, Reference: Auto
# Start: 2025-12-02 15:01:15
# Stop: 2025-12-03 08:00:00
# File: c:\WinPython\notebooks\HiPES\Francois\Driftmessung_2025-12-02_15-01-15.csv

Datum_Zeit,Ratiomesswert,Gleitender_Mittelwert,Gesamtmittelwert
2025-12-02 15:02:32,10.0312392000,10.0312432533,10.0312728831
2025-12-02 15:02:33,10.0312592000,10.0312437333,10.0312727077
2025-12-02 15:02:34,10.0312080000,10.0312402133,10.0312718886
2025-12-02 15:02:35,10.0312808000,10.0312433600,10.0312720000
2025-12-02 15:02:36,10.0312296000,10.0312424533,10.0312714765
2025-12-02 15:02:37,10.0312216000,10.0312399467,10.0312708683
2025-12-02 15:02:38,10.0312528000,10.0312402133,10.0312706506
2025-12-02 15:02:39,10.0312424000,10.0312434133,10.0312703143
2025-12-02 15:02:40,10.0312568000,10.0312443200,10.0312701553
2025-12-02 15:02:41,10.0312560000,10.0312456000,10.0312699907
2025-12-02 15:02:42,10.0312672000,10.0312470400,10.0312699586
2025-12-02 15:02:43,10.0312512000,10.0312468800,10.0312697455
2025-12-02 15:02:44,10.0312680000,10.0312489600,10.0312697258
2025-12-02 15:02:45,10.0312360000,10.0312490667,10.0312693511
2025-12-02 15:02:46,10.0312392000,10.0312472000,10.0312690198
2025-12-02 15:02:47,10.0312464000,10.0312476800,10.0312687739
2025-12-02 15:02:48,10.0312480000,10.0312469333,10.0312685505
2025-12-02 15:02:49,10.0312792000,10.0312516800,10.0312686638
2025-12-02 15:02:50,10.0312216000,10.0312477333,10.0312681684
2025-12-02 15:02:51,10.0312568000,10.0312495467,10.0312680500
2025-12-02 15:02:52,10.0312232000,10.0312496533,10.0312675876
2025-12-02 15:02:53,10.0312408000,10.0312488533,10.0312673143
2025-12-02 15:02:54,10.0312008000,10.0312460800,10.0312666424
2025-12-02 15:02:55,10.0311976000,10.0312421333,10.0312659520
2025-12-02 15:02:56,10.0312064000,10.0312388267,10.0312653624
2025-12-02 15:02:57,10.0312592000,10.0312382933,10.0312653020
2025-12-02 15:02:58,10.0312208000,10.0312362667,10.0312648699
2025-12-02 15:02:59,10.0312144000,10.0312326933,10.0312643846
2025-12-02 15:03:00,10.0311880000,10.0312294933,10.0312636571
2025-12-02 15:03:01,10.0312128000,10.0312277333,10.0312631774
2025-12-02 15:03:02,10.0312480000,10.0312278400,10.0312630355
2025-12-02 15:03:03,10.0312392000,10.0312272533,10.0312628148
2025-12-02 15:03:04,10.0312432000,10.0312248533,10.0312626349
2025-12-02 15:03:05,10.0312232000,10.0312249600,10.0312622764
2025-12-02 15:03:06,10.0312264000,10.0312229333,10.0312619532
2025-12-02 15:03:07,10.0312296000,10.0312233600,10.0312616643
2025-12-02 15:03:08,10.0312072000,10.0312211200,10.0312611823
2025-12-02 15:03:09,10.0312480000,10.0312242667,10.0312610667
2025-12-02 15:03:10,10.0312640000,10.0312286933,10.0312610922
2025-12-02 15:03:11,10.0312384000,10.0312308267,10.0312608966
2025-12-02 15:03:12,10.0312296000,10.0312288533,10.0312606291
2025-12-02 15:03:13,10.0312232000,10.0312290133,10.0312603119
2025-12-02 15:03:14,10.0312184000,10.0312292800,10.0312599597
2025-12-02 15:03:15,10.0312208000,10.0312314667,10.0312596333
2025-12-02 15:03:16,10.0312376000,10.0312331200,10.0312594512
2025-12-02 15:03:17,10.0312168000,10.0312310400,10.0312591016
2025-12-02 15:03:18,10.0312144000,10.0312293867,10.0312587382
2025-12-02 15:03:19,10.0312208000,10.0312278933,10.0312584323
2025-12-02 15:03:20,10.0311688000,10.0312242667,10.0312577152
2025-12-02 15:03:21,10.0312288000,10.0312244267,10.0312574857
2025-12-02 15:03:22,10.0312280000,10.0312243200,10.0312572535
2025-12-02 15:03:23,10.0312336000,10.0312260800,10.0312570687
2025-12-02 15:03:24,10.0312160000,10.0312239467,10.0312567504
2025-12-02 15:03:25,10.0311800000,10.0312183467,10.0312561600
2025-12-02 15:03:26,10.0312168000,10.0312169067,10.0312558595
2025-12-02 15:03:27,10.0312208000,10.0312163200,10.0312555939
2025-12-02 15:03:28,10.0312176000,10.0312159467,10.0312553083
2025-12-02 15:03:29,10.0311968000,10.0312145067,10.0312548716
2025-12-02 15:03:30,10.0311816000,10.0312118933,10.0312543289
2025-12-02 15:03:31,10.0312168000,10.0312105067,10.0312540529
2025-12-02 15:03:32,10.0312168000,10.0312105067,10.0312537810
2025-12-02 15:03:33,10.0312472000,10.0312126933,10.0312537333
2025-12-02 15:03:34,10.0312320000,10.0312134400,10.0312535770
2025-12-02 15:03:35,10.0312144000,10.0312164800,10.0312532971
2025-12-02 15:03:36,10.0312472000,10.0312177067,10.0312532539
2025-12-02 15:03:37,10.0312680000,10.0312203733,10.0312533577
2025-12-02 15:03:38,10.0312320000,10.0312202667,10.0312532084
